"monthly_salary","fico","utilization","card_limit","card_interest_rate","model_output","model_target"
"124144","880","5.27%","30373","5.62%","0.7627","1"
"20810","850","1.13%","45944","11.38%","0.2462","0"
"17278","629","15.80%","16475","11.56%","0.4270","0"
"172320","840","10.40%","6210","11.81%","0.6429","0"
"56970","726","5.82%","14500","9.01%","0.5371","0"
"87408","771","13.11%","39159","9.09%","0.7916","0"
"54219","898","6.93%","21778","2.05%","0.0363","0"
"71240","790","11.46%","30574","8.57%","0.7239","1"
"181813","603","13.08%","32610","7.07%","0.2680","0"
"27442","623","6.98%","30568","10.13%","0.4740","0"
"50188","774","1.89%","24706","7.22%","0.8330","0"
"130682","618","7.25%","14912","9.77%","0.3273","0"
"194752","787","8.90%","22465","8.58%","0.1039","0"
"134772","777","3.86%","36554","4.64%","0.9293","1"
"41669","759","13.15%","32323","9.25%","0.5255","0"
"132071","782","10.35%","24351","8.22%","0.5862","0"
"134756","737","6.72%","11877","3.68%","0.2127","0"
"78818","817","10.84%","34601","2.33%","0.3623","0"
"130408","879","6.88%","26227","6.05%","0.7400","0"
"75733","601","8.21%","16231","9.62%","0.5148","1"
"150558","706","6.57%","20866","3.06%","0.3003","0"
"195109","616","7.25%","46344","5.56%","0.3497","0"
"45571","763","10.14%","26664","3.33%","0.6401","0"
"95878","688","0.99%","18103","9.69%","0.4435","0"
"58312","716","0.67%","44021","11.29%","0.7757","0"
"24183","850","6.50%","34297","4.22%","0.0584","0"
"190946","633","9.06%","15494","4.47%","0.5392","0"
"60666","860","12.89%","46366","5.90%","0.4863","0"
"44222","748","8.53%","25375","6.80%","0.4533","0"
"190679","606","11.87%","49457","6.17%","0.4777","0"
"62225","766","14.09%","10036","6.41%","0.3893","0"
"172543","837","6.60%","33462","3.65%","0.1189","0"
"18976","605","1.21%","42254","3.35%","0.4255","0"
"101322","636","15.26%","39688","3.29%","0.7921","1"
"87656","630","7.58%","24027","4.83%","0.4129","0"
"35189","831","13.15%","17518","11.45%","0.7426","1"
"171997","788","9.95%","5084","7.82%","0.0148","0"
"163567","853","10.76%","9279","8.69%","0.3393","0"
"176854","772","8.61%","20075","9.43%","0.5607","1"
"165589","874","6.42%","14438","9.82%","0.1894","0"
"13023","611","5.11%","17150","6.83%","0.5186","1"
"15387","761","9.82%","38132","7.41%","0.6899","0"
"57661","672","5.43%","35003","10.62%","0.9230","0"
"12792","659","2.40%","38778","3.58%","0.4836","0"
"46585","832","9.50%","11600","10.64%","0.7976","1"
"111589","760","2.07%","29773","9.17%","0.2631","0"
"89375","896","1.24%","40441","2.34%","0.7011","1"
"98990","877","14.16%","21163","7.82%","0.8158","0"
"131333","648","9.99%","22832","5.74%","0.6269","0"
"42711","854","5.06%","15832","9.15%","0.5467","0"
"32577","807","10.76%","35864","11.63%","0.8533","0"
"103388","770","12.00%","36629","3.97%","0.6101","1"
"101076","770","2.52%","15505","9.43%","0.1288","0"
"169251","776","4.62%","25627","9.55%","0.4341","0"
"81138","683","16.35%","30029","4.70%","0.0707","0"
"175383","782","7.34%","25003","3.08%","0.7676","1"
"137700","603","14.45%","37053","8.11%","0.5348","0"
"146587","669","4.37%","8267","2.77%","0.4031","0"
"140749","890","10.29%","9424","10.78%","0.3085","0"
"20230","737","14.60%","46399","10.42%","0.6559","1"
"137844","635","12.54%","18537","8.46%","0.9894","1"
"184474","719","12.39%","31025","4.58%","0.2698","0"
"80560","844","13.62%","8913","9.72%","0.7012","0"
"78279","707","15.64%","6946","7.04%","0.1790","0"
"165462","766","6.08%","34091","4.92%","0.0990","0"
"169508","631","11.01%","6755","3.97%","0.0267","0"
"30142","618","6.15%","35227","6.64%","0.3252","0"
"187461","686","4.87%","37120","11.01%","0.3133","0"
"50964","888","11.63%","30994","9.75%","0.4542","0"
"69347","775","16.11%","34862","5.02%","0.8426","1"
"183092","641","8.62%","18350","6.95%","0.9351","1"
"148411","654","14.26%","37404","3.70%","0.8200","0"
"104720","816","6.97%","25630","12.00%","0.4110","0"
"33860","779","1.34%","9590","4.83%","0.6435","0"
"11116","809","11.33%","9110","8.29%","0.4979","0"
"162156","738","5.55%","33611","4.04%","0.4593","0"
"38204","833","0.98%","10197","10.07%","0.9999","1"
"70640","852","7.58%","41490","10.69%","0.8205","0"
"138440","796","9.78%","8486","11.55%","0.0767","0"
"171819","843","5.71%","26816","6.78%","0.9186","1"
"49983","605","0.10%","36059","8.31%","0.9548","1"
"70573","745","11.10%","22481","9.20%","0.5190","0"
"35707","778","3.48%","30259","11.64%","0.3736","0"
"12237","678","0.98%","5778","9.24%","0.8448","0"
"36140","872","10.84%","47044","2.02%","0.4975","0"
"153323","643","3.41%","32326","9.89%","0.6499","0"
"115479","773","6.55%","33608","10.52%","0.0321","0"
"114803","681","10.90%","17711","4.53%","0.8193","0"
"45520","651","14.20%","34855","6.64%","0.7003","1"
"122687","742","6.66%","49224","5.76%","0.2353","0"
"177640","889","7.20%","41196","8.68%","0.6202","0"
"79117","614","4.53%","41408","8.50%","0.8559","1"
"59449","815","15.91%","18957","6.45%","0.9548","1"
"17826","743","12.00%","9902","3.81%","0.9511","1"
"162775","743","14.57%","21071","8.64%","0.0685","0"
"158358","796","11.23%","10118","11.58%","0.0120","0"
"73239","637","15.82%","39990","5.17%","0.3243","0"
"108372","638","0.70%","34841","9.13%","0.7613","0"
"54731","741","13.03%","17476","3.97%","0.2211","0"
"111443","759","3.55%","24974","6.77%","0.0074","0"
"132948","716","0.40%","8784","5.92%","0.3263","0"
"179300","682","5.41%","47199","7.34%","0.3516","0"
"10159","870","4.64%","11249","9.54%","0.0711","0"
"92194","868","4.36%","33467","9.60%","0.3182","0"
"135389","601","11.01%","32522","10.87%","0.0007","0"
"25357","852","9.19%","49621","11.29%","0.6664","1"
"192868","733","11.46%","35056","4.81%","0.2014","0"
"133814","643","13.34%","36233","6.24%","0.0794","0"
"72414","815","10.68%","10446","11.42%","0.9559","0"
"24592","713","11.81%","6323","9.91%","0.2276","0"
"144284","843","12.67%","22136","9.74%","0.9259","1"
"75982","848","6.84%","19370","11.52%","0.2674","0"
"141898","837","13.64%","8807","8.26%","0.4503","0"
"86281","787","0.89%","23783","8.53%","0.0715","0"
"18233","624","8.53%","49583","4.23%","0.6378","0"
"141826","859","8.88%","38612","9.57%","0.0565","0"
"177759","887","4.46%","18380","7.09%","0.4703","0"
"20218","651","14.95%","41897","2.93%","0.0782","0"
"198571","867","15.90%","8445","6.04%","0.9090","1"
"72925","855","8.17%","30946","5.75%","0.9516","1"
"119636","846","7.93%","13007","9.40%","0.1933","0"
"11944","809","11.19%","18714","11.37%","0.1887","0"
"131980","861","9.80%","43093","8.45%","0.9584","1"
"132322","862","7.21%","48683","10.23%","0.2794","0"
"149595","842","9.63%","34086","10.20%","0.1875","0"
"92024","639","1.45%","45695","2.22%","0.5039","0"
"55508","873","14.17%","36343","9.06%","0.2089","0"
"58277","864","0.91%","20561","10.32%","0.8905","0"
"168433","728","3.75%","48813","3.72%","0.1939","0"
"166966","611","13.16%","6986","7.55%","0.5445","1"
"38996","761","14.07%","34857","2.84%","0.7837","1"
"125213","614","11.18%","9209","10.71%","0.4711","0"
"47762","623","10.01%","29326","6.03%","0.3584","0"
"114824","611","0.62%","25403","7.12%","0.0118","0"
"176710","808","9.87%","41147","8.28%","0.9634","0"
"112929","761","16.56%","9143","8.41%","0.6937","0"
"16123","679","3.93%","5560","8.58%","0.3404","0"
"49827","731","9.35%","34615","10.54%","0.2358","0"
"29983","670","12.12%","49355","3.04%","0.8151","0"
"70733","637","12.28%","39576","11.60%","0.5443","0"
"127863","795","12.67%","6768","9.95%","0.8078","0"
"137734","756","16.08%","46561","9.81%","0.1217","0"
"193660","729","0.39%","31641","6.51%","0.4378","0"
"129677","797","0.17%","16459","10.01%","0.5560","1"
"162461","641","7.25%","15174","4.02%","0.4506","0"
"146802","815","12.16%","30264","8.80%","0.8155","0"
"193499","824","6.73%","10627","10.31%","0.5233","1"
"153498","879","4.89%","38580","7.49%","0.3543","0"
"49361","805","5.90%","40142","11.42%","0.7899","1"
"108443","818","2.02%","43013","11.19%","0.4936","0"
"159602","709","1.67%","40838","4.01%","0.2243","0"
"47290","786","11.59%","28005","6.45%","0.8684","0"
"189166","729","7.93%","47602","7.83%","0.7447","0"
"96762","639","1.39%","22354","3.04%","0.6562","0"
"32146","873","7.73%","38488","2.73%","0.6409","1"
"152235","655","1.50%","10884","7.51%","0.8037","1"
"86299","701","4.10%","7182","7.11%","0.1262","0"
"47175","676","8.47%","37472","2.18%","0.0512","0"
"170461","610","8.31%","34317","5.30%","0.5914","1"
"54993","625","11.46%","25394","7.24%","0.4827","0"
"120950","725","6.93%","38672","9.15%","0.9769","1"
"31352","655","1.63%","6278","11.77%","0.8888","0"
"114609","788","9.84%","13328","6.35%","0.7136","0"
"171554","804","9.42%","24635","11.44%","0.9622","0"
"179194","695","13.59%","44951","2.85%","0.9416","0"
"148574","802","6.89%","20011","11.66%","0.3228","0"
"190268","805","0.55%","43505","3.78%","0.3626","0"
"67487","625","11.49%","28398","11.19%","0.4133","0"
"129795","607","4.27%","10550","11.84%","0.6676","1"
"32520","673","9.98%","20189","7.61%","0.2640","0"
"22682","615","15.48%","32521","2.84%","0.2127","0"
"169615","845","0.33%","24023","4.44%","0.1095","0"
"124150","623","7.38%","23283","6.75%","0.5648","1"
"147254","674","11.79%","48564","4.81%","0.4732","0"
"63982","747","11.94%","37499","2.21%","0.9519","0"
"98118","785","5.44%","18030","6.16%","0.0118","0"
"192299","873","12.69%","16223","10.95%","0.1264","0"
"106907","846","8.32%","9054","9.31%","0.5343","0"
"10006","866","2.00%","17634","2.80%","0.9643","1"
"123080","857","8.04%","46797","6.09%","0.8621","0"
"62771","749","1.25%","33466","8.01%","0.4099","0"
"180274","802","1.72%","21780","8.24%","0.7478","0"
"128174","802","9.52%","48311","9.33%","0.4370","0"
"165316","648","1.92%","26314","4.40%","0.8988","1"
"27398","848","3.51%","20671","8.28%","0.2086","0"
"84073","697","15.52%","12950","7.11%","0.2048","0"
"156668","866","3.73%","27977","6.41%","0.8983","0"
"58195","710","10.91%","13010","11.84%","0.7955","0"
"103895","694","10.72%","30405","8.84%","0.9055","0"
"107246","898","13.43%","25806","10.63%","0.3034","0"
"27465","822","8.93%","40627","5.36%","0.7976","0"
"124917","832","0.70%","14636","2.89%","0.1901","0"
"69273","813","16.62%","22676","5.59%","0.9960","0"
"33069","802","5.72%","11788","11.48%","0.7490","0"
"161350","878","0.09%","12180","5.25%","0.3706","0"
"174382","806","9.28%","17519","7.68%","0.2190","0"
"45729","812","6.35%","17858","9.18%","0.7877","1"
"186359","887","4.23%","7823","10.16%","0.6472","0"
"42184","698","1.04%","18473","11.99%","0.6981","0"
"58490","796","8.35%","28820","10.52%","0.7996","1"
"97719","880","3.87%","12429","6.29%","0.8437","0"
"129330","630","6.17%","29939","7.73%","0.6389","0"
"110214","701","5.13%","35828","2.24%","0.5638","1"
"194203","718","12.71%","44988","11.04%","0.0166","0"
"24433","819","5.31%","17522","6.32%","0.3226","0"
"162023","746","14.85%","15434","2.56%","0.1567","0"
"160148","734","4.22%","17369","4.46%","0.4439","0"
"185288","709","9.99%","5329","6.66%","0.8568","0"
"175824","799","12.74%","46362","9.24%","0.4833","0"
"91396","895","9.20%","35462","11.55%","0.7858","0"
"139190","692","7.97%","9364","8.52%","0.7189","0"
"161069","638","5.68%","17436","3.68%","0.7117","0"
"112699","766","8.23%","19029","4.29%","0.2769","0"
"137405","624","2.63%","47220","6.06%","0.4037","0"
"153001","628","10.61%","46856","6.15%","0.9901","0"
"72922","635","1.42%","9232","7.90%","0.5215","0"
"42222","684","4.66%","11880","10.57%","0.1255","0"
"64438","768","3.50%","34885","3.04%","0.2405","0"
"183865","753","1.32%","21768","9.06%","0.2027","0"
"13556","676","14.87%","15599","4.66%","0.1666","0"
"169390","804","11.06%","29151","10.22%","0.6999","0"
"192580","666","2.42%","11054","11.97%","0.2545","0"
"165066","752","15.49%","14502","8.68%","0.1311","0"
"199413","832","6.68%","30822","2.47%","0.7337","1"
"182757","675","6.34%","15932","11.90%","0.7527","1"
"125101","869","0.88%","10760","9.24%","0.2489","0"
"108621","709","5.85%","11729","10.95%","0.6650","0"
"62693","648","5.10%","31605","4.16%","0.5776","1"
"148793","779","9.13%","34770","7.28%","0.8362","1"
"126550","649","10.09%","28008","2.32%","0.9690","0"
"40090","767","6.32%","33755","2.67%","0.2508","0"
"36685","734","10.14%","9048","4.19%","0.6809","1"
"63831","892","13.65%","47572","6.18%","0.0420","0"
"189631","725","5.40%","35441","7.72%","0.0135","0"
"174252","749","2.46%","39328","11.11%","0.7882","1"
"176098","673","1.87%","16747","11.21%","0.6744","1"
"175535","761","14.94%","20398","6.62%","0.7335","0"
"178868","821","4.23%","25922","8.14%","0.7721","0"
"28866","609","9.00%","44245","7.07%","0.2608","0"
"173181","879","3.43%","41145","10.41%","0.0202","0"
"77280","737","4.69%","5957","4.35%","0.6127","1"
"64804","861","9.31%","5782","6.23%","0.7547","0"
"140676","708","5.41%","47430","2.42%","0.3852","0"
"80315","857","9.46%","9379","11.04%","0.2859","0"
"118715","696","15.21%","12322","2.88%","0.3631","0"
"24109","869","9.37%","7987","4.87%","0.6192","0"
"58114","852","9.60%","24410","7.50%","0.6082","1"
"80652","688","1.23%","29100","10.81%","0.1392","0"
"114035","859","6.52%","26459","8.98%","0.5364","0"
"188633","771","4.51%","29742","6.03%","0.9235","1"
"98985","615","13.25%","38318","9.92%","0.8477","0"
"10242","816","14.07%","49191","10.19%","0.6800","1"
"156322","728","13.53%","42651","10.54%","0.3191","0"
"29933","678","7.95%","7900","3.63%","0.1284","0"
"108594","695","7.32%","17554","6.38%","0.4787","0"
"87796","709","1.09%","49867","6.53%","0.9913","0"
"81418","666","14.02%","13790","3.33%","0.3034","0"
"45341","680","2.14%","32061","8.82%","0.6597","1"
"94463","837","12.21%","27274","11.17%","0.1996","0"
"31991","802","15.92%","45383","10.12%","0.3405","0"
"68475","835","9.40%","27829","10.88%","0.4122","0"
"76985","866","12.64%","14450","9.49%","0.9030","1"
"117842","675","8.72%","13704","10.17%","0.5761","1"
"20817","880","16.47%","47453","11.51%","0.2904","0"
"126352","884","13.48%","47354","6.73%","0.6865","1"
"26620","894","7.32%","37508","9.96%","0.8464","1"
"19782","785","10.57%","46106","7.39%","0.2601","0"
"23064","809","4.96%","47527","2.39%","0.0888","0"
"175549","871","1.49%","17416","11.73%","0.7256","0"
"26358","869","14.67%","24589","10.77%","0.7162","1"
"150486","678","10.63%","10870","11.61%","0.1064","0"
"128559","880","16.43%","21295","10.38%","0.1001","0"
"84287","865","1.20%","5213","9.85%","0.1929","0"
"18626","795","0.28%","36375","2.87%","0.3551","0"
"165046","673","3.83%","30862","4.44%","0.6684","0"
"61208","763","15.56%","29106","11.09%","0.7115","0"
"44737","721","7.59%","20180","4.74%","0.9481","1"
"77890","854","11.40%","35344","5.53%","0.2805","0"
"106560","789","6.71%","5585","7.41%","0.8457","1"
"77296","881","9.51%","6543","10.05%","0.1030","0"
"191172","607","8.03%","49382","5.84%","0.0453","0"
"11739","743","12.13%","13193","2.21%","0.3332","0"
"198850","651","7.49%","24221","5.25%","0.7764","1"
"70812","756","0.01%","15027","10.72%","0.5050","1"
"66120","898","14.22%","20803","7.41%","0.0524","0"
"70006","863","3.73%","21136","3.97%","0.5750","1"
"185746","835","6.76%","33827","3.97%","0.4200","0"
"17834","791","13.51%","8174","4.08%","0.0842","0"
"13241","656","11.68%","26338","5.66%","0.8857","0"
"97565","674","5.16%","10868","5.95%","0.6269","1"
"102064","719","15.38%","9289","7.88%","0.6610","1"
"93225","652","14.47%","45611","10.23%","0.3951","0"
"26767","731","6.51%","46758","9.62%","0.6332","1"
"49370","613","8.33%","44349","8.21%","0.9533","1"
"142974","881","12.12%","34687","6.82%","0.1767","0"
"175004","682","7.19%","17055","2.02%","0.4157","0"
"196958","652","6.21%","32961","8.84%","0.6403","0"
"115167","612","4.26%","23697","8.75%","0.6915","0"
"163493","737","12.33%","7798","5.68%","0.7618","0"
"124846","888","15.46%","20833","6.20%","0.5440","1"
"68950","657","16.47%","21145","6.87%","0.4730","0"
"116078","717","0.25%","28218","3.09%","0.5039","0"
"168319","807","11.30%","40412","11.39%","0.2765","0"
"17192","627","13.75%","22366","8.02%","0.5754","0"
"98886","698","2.11%","44291","2.88%","0.2396","0"
"16031","640","14.03%","18970","11.75%","0.5833","0"
"44100","768","7.29%","6944","8.77%","0.8970","1"
"34365","637","2.34%","19845","11.10%","0.6031","0"
"156014","778","15.13%","48563","4.91%","0.1513","0"
"67635","786","5.90%","37388","4.32%","0.3865","0"
"191602","760","14.08%","37656","5.52%","0.8844","1"
"11014","686","3.86%","36027","5.64%","0.9869","0"
"172820","738","1.36%","20807","7.47%","0.1338","0"
"164744","897","10.25%","38120","6.29%","0.8832","0"
"193984","609","7.37%","10347","8.33%","0.6615","0"
"118018","713","12.08%","37022","4.47%","0.0233","0"
"106959","857","11.82%","37274","3.07%","0.7634","0"
"172466","745","3.64%","32700","2.80%","0.1168","0"
"159655","761","13.20%","26087","6.64%","0.5883","0"
"83739","634","9.80%","21013","8.20%","0.7143","0"
"178961","753","12.62%","34151","11.84%","0.7941","0"
"79889","778","15.01%","24613","11.64%","0.6481","0"
"23779","715","7.23%","24883","7.96%","0.4612","0"
"49224","640","10.18%","22083","8.01%","0.0811","0"
"28293","691","10.99%","47258","6.02%","0.0661","0"
"81189","657","10.21%","13063","6.38%","0.0218","0"
"81654","821","0.34%","46689","8.86%","0.4255","0"
"173603","603","13.44%","31710","6.80%","0.7983","0"
"97452","746","9.27%","6447","6.41%","0.6437","1"
"57145","789","2.56%","27064","9.26%","0.7385","1"
"199659","806","5.95%","31357","8.53%","0.6883","1"
"106470","705","8.95%","43034","7.51%","0.5329","1"
"69203","747","14.75%","19929","6.04%","0.6154","0"
"151412","751","2.11%","28472","2.84%","0.3391","0"
"15465","884","0.46%","8371","7.91%","0.1445","0"
"125612","886","8.00%","30704","10.11%","0.2677","0"
"36082","763","3.70%","19677","2.01%","0.1076","0"
"94078","647","3.59%","42248","8.54%","0.1202","0"
"138624","629","0.95%","43283","5.71%","0.7896","1"
"60814","664","15.47%","41964","7.37%","0.0555","0"
"183603","656","13.38%","31578","10.74%","0.7144","0"
"199272","683","8.27%","9517","10.36%","0.6822","0"
"25420","610","9.52%","7778","4.20%","0.5813","0"
"37958","724","4.48%","27652","3.14%","0.1121","0"
"29441","656","15.60%","47763","2.77%","0.7237","1"
"83622","853","13.24%","33998","11.73%","0.9865","0"
"68261","805","12.57%","9229","11.86%","0.2337","0"
"81868","696","15.41%","14959","5.86%","0.8843","1"
"60115","736","10.21%","18827","3.28%","0.2353","0"
"48478","791","14.88%","44961","4.34%","0.8450","1"
"189472","867","7.90%","48370","6.97%","0.2807","0"
"121669","787","7.99%","27117","4.23%","0.7508","1"
"104363","601","16.10%","45288","11.16%","0.5062","0"
"160744","862","12.24%","45173","7.96%","0.8004","1"
"152639","869","13.92%","45490","6.20%","0.6295","0"
"88635","889","3.16%","18654","11.84%","0.3093","0"
"188542","639","14.80%","5664","4.91%","0.6350","1"
"25099","616","10.49%","40217","11.80%","0.1676","0"
"21130","773","9.67%","11164","4.71%","0.7384","1"
"133591","897","9.66%","48530","2.20%","0.7827","1"
"83936","729","0.34%","33045","6.10%","0.0036","0"
"134280","635","14.84%","16163","8.92%","0.6023","0"
"63532","711","11.36%","12053","10.02%","0.5010","1"
"99062","824","6.44%","47195","6.02%","0.9381","0"
"138865","778","9.17%","27855","2.05%","0.7277","0"
"163818","898","3.69%","40812","7.09%","0.9368","0"
"139145","744","11.75%","20764","9.89%","0.8962","0"
"10352","869","10.99%","42653","8.16%","0.0531","0"
"169893","718","12.06%","11816","7.65%","0.7412","0"
"23433","663","11.32%","14645","11.29%","0.1836","0"
"143648","866","8.54%","21131","5.93%","0.4714","0"
"189679","799","7.36%","14620","2.44%","0.8873","1"
"56356","769","12.62%","41766","2.57%","0.0330","0"
"168918","872","0.01%","41165","5.43%","0.5427","1"
"135321","709","11.14%","11487","8.19%","0.7669","0"
"148399","672","1.56%","35210","8.75%","0.3216","0"
"160692","870","14.51%","42076","4.22%","0.9908","0"
"155933","753","10.23%","17529","3.44%","0.9703","1"
"36036","791","7.60%","13699","2.89%","0.8612","1"
"54182","678","16.25%","43956","8.38%","0.3112","0"
"23829","680","8.36%","25925","8.59%","0.7647","0"
"130742","827","11.97%","45258","2.74%","0.3657","0"
"128439","809","12.96%","9769","5.21%","0.3185","0"
"12727","720","15.06%","29559","10.34%","0.0675","0"
"150084","856","6.15%","28539","10.88%","0.0582","0"
"92337","665","6.59%","17313","6.33%","0.7181","1"
"11365","652","5.48%","15826","10.86%","0.9538","1"
"97356","790","8.94%","15508","3.37%","0.9294","1"
"159598","709","15.67%","44853","5.46%","0.7781","1"
"145847","695","13.83%","32041","3.31%","0.6153","1"
"49684","795","5.60%","5155","5.93%","0.9969","0"
"74436","761","9.64%","21561","6.11%","0.2164","0"
"88475","823","0.59%","19724","9.59%","0.5308","1"
"58489","618","6.34%","21308","11.36%","0.3637","0"
"12234","810","14.14%","42752","2.01%","0.4320","0"
"158156","693","8.51%","38160","10.34%","0.4622","0"
"187195","683","12.57%","10966","9.18%","0.0398","0"
"76611","880","6.75%","29651","9.02%","0.5936","0"
"62517","780","0.71%","48530","4.77%","0.5159","0"
"154708","710","5.88%","41042","10.32%","0.8244","0"
"196891","873","10.77%","43970","4.96%","0.1753","0"
"65589","696","7.97%","18429","10.00%","0.6311","0"
"31215","751","3.97%","24967","7.32%","0.7408","0"
"173365","691","13.89%","8652","4.79%","0.1339","0"
"110402","890","1.00%","16620","6.98%","0.4395","0"
"163543","765","14.17%","18763","6.35%","0.1068","0"
"57423","626","6.17%","12416","6.67%","0.7923","1"
"30343","859","3.42%","10486","6.73%","0.0042","0"
"90840","765","15.18%","44563","11.42%","0.4286","0"
"114912","641","13.52%","44515","2.88%","0.2410","0"
"166793","828","7.75%","6776","10.26%","0.3786","0"
"110660","853","14.88%","35166","9.90%","0.6562","1"
"64658","668","11.21%","49564","8.24%","0.0072","0"
"21010","632","14.83%","26682","9.98%","0.9964","0"
"199468","757","4.53%","34489","11.98%","0.1575","0"
"33457","744","1.11%","32863","10.71%","0.6290","1"
"28893","825","4.63%","37923","10.41%","0.6717","1"
"181623","701","11.49%","38382","8.31%","0.8203","0"
"78887","603","9.47%","24089","11.75%","0.3722","0"
"157474","779","4.06%","47677","8.44%","0.3484","0"
"123379","622","12.31%","31385","5.57%","0.8548","0"
"54659","800","8.25%","19978","4.40%","0.0138","0"
"184081","629","13.65%","21636","10.51%","0.2217","0"
"185468","873","0.18%","21714","6.71%","0.5985","1"
"148271","619","12.08%","45004","8.39%","0.7295","0"
"49722","672","12.10%","47075","2.81%","0.8587","1"
"83141","895","13.53%","24414","2.82%","0.4382","0"
"109503","732","0.21%","33886","4.54%","0.3084","0"
"125263","834","0.73%","49735","8.21%","0.4063","0"
"76243","850","11.65%","24769","7.09%","0.5093","0"
"34012","818","10.08%","23205","2.68%","0.0212","0"
"62973","715","6.85%","27928","5.71%","0.7028","0"
"57249","764","15.92%","32347","9.23%","0.2867","0"
"67578","656","2.61%","45013","8.61%","0.3125","0"
"90641","781","10.40%","23318","4.23%","0.5862","0"
"180248","899","2.17%","10728","11.03%","0.7909","1"
"16127","778","8.47%","36375","2.46%","0.7348","0"
"199115","708","8.30%","14973","9.79%","0.6609","1"
"187875","880","0.53%","8283","7.94%","0.3279","0"
"120661","630","5.59%","18809","9.50%","0.3696","0"
"61690","664","10.86%","20457","7.08%","0.1613","0"
"141061","821","11.25%","37991","5.77%","0.6998","0"
"57270","708","9.29%","27808","4.53%","0.1661","0"
"180434","756","12.62%","22745","10.48%","0.2064","0"
"106336","696","11.30%","44364","6.45%","0.0714","0"
"25124","607","4.49%","20118","6.44%","0.2123","0"
"198212","607","13.47%","23130","3.54%","0.2486","0"
"113844","689","11.15%","36365","11.17%","0.8286","0"
"30504","693","11.71%","33431","7.93%","0.6287","0"
"28766","833","6.00%","9248","8.91%","0.7881","1"
"144350","716","12.16%","33404","10.76%","0.6149","1"
"143696","880","9.14%","19812","10.59%","0.3986","0"
"122362","649","3.77%","38920","8.88%","0.8032","0"
"161160","625","6.75%","15525","9.29%","0.9454","1"
"154520","897","4.45%","6124","8.82%","0.4945","0"
"190753","886","12.16%","7936","3.73%","0.4798","0"
"122334","876","9.29%","25007","11.07%","0.2351","0"
"61306","605","8.38%","41055","11.04%","0.2195","0"
"169771","863","8.04%","7866","8.37%","0.4054","0"
"12383","895","10.28%","18025","7.25%","0.1116","0"
"158556","766","12.75%","17768","4.02%","0.5264","0"
"81078","892","1.68%","23973","6.80%","0.3584","0"
"64154","871","5.87%","33842","2.96%","0.9486","0"
"12195","680","6.21%","23584","11.36%","0.5000","0"
"43286","827","2.08%","17474","3.83%","0.7945","0"
"124189","773","6.71%","11522","9.61%","0.6723","0"
"66281","820","3.57%","10835","9.36%","0.9524","1"
"34854","865","5.67%","13741","10.60%","0.8068","1"
"32659","872","8.23%","28026","7.66%","0.9711","1"
"76259","607","8.19%","14156","9.66%","0.2728","0"
"71542","855","6.04%","28121","6.50%","0.4105","0"
"43708","696","13.97%","15852","10.07%","0.9721","1"
"12998","651","14.53%","26103","5.60%","0.5077","1"
"111243","792","7.51%","32608","2.26%","0.4069","0"
"71114","769","10.41%","24854","10.41%","0.4786","0"
"153134","871","6.42%","32052","2.68%","0.2395","0"
"56129","743","7.96%","17914","11.31%","0.8643","0"
"75542","714","9.50%","47525","3.79%","0.3422","0"
"73646","776","13.48%","35237","9.55%","0.6477","1"
"92808","767","14.30%","38832","7.28%","0.0743","0"
"13853","823","0.54%","28031","9.54%","0.3983","0"
"163112","726","1.06%","16501","2.34%","0.2925","0"
"178632","725","13.92%","29530","4.94%","0.0955","0"
"127292","823","9.51%","27206","6.98%","0.4558","0"
